**SNo**	**inferable**	**Message**	**Meaning**
1	yes	"=" IS MISSING	“=” does not exist between the parameter and the parameter value
2	yes	"TYPE" IS MISSING	“TYPE” parameter does not exist in the DOPE statement although BOX GAUSS or FREE is designated as a parameter value of PROFILE.
3	no	3-D FILE COORDINATE ERROR !!	The 3D file includes a X or Y coordinate not to be defined at the top of the file.
4	no	3-D FILE READ ERROR !!	The 3D file for DOPE or REGION statement cannot be read.
5	yes	Array of value exceed 255!!	The array number in a parenthesis exceeds 255 in DEFINE statement.
6	maybe	BIAS ERROR	BIAS statement has an error
7	maybe	DEFINE INPUT ERROR !!	DEFINE statement has an error
8	no	DOPE MASK POLYGON OUT OF STRUCTURE!!	A part of the designated polygon in the DOPE statement exists out of the calculated structure.
9	no	ELECTRODE MASK POLYGON OUT OF STRUCTURE!!	A part of the designated polygon in the ELECTRODE statement exists out of the calculated structure.
10	maybe	ELECTRODE NAME ERROR !!	The designated electrode name does not exist in the RESTART file in OLD_ELECTRODE = Y case.
11	yes	Elements of value exceed 255!!	The element number of VALUE in a parenthesis exceeds 255 in DEFINE
12	yes	ENAME ERROR !! --> ENAME=	The electrode name in EXTRACT statement does not exist in ant ELECTRODE statements.
13	yes	ENAME, NFNAME or PFNAME can not be found	The name of ELECTRODE NFERMI or PFERMI in BIAS statement is not defined.
14	yes	ERROR ( GRID-XMAX > STRUCT-XMAX )	The maximum X-coordinate in GRID statement is larger than XMAX in STRUCTURE statement.
15	yes	ERROR ( GRID-YMAX > STRUCT-YMAX )	The maximum Y-coordinate in GRID statement is larger than YMAX in STRUCTURE statement.
16	yes	ERROR ( GRID-ZMIN < STRUCT-ZMIN )	The minimum Z-coordinate in GRID statement is smaller than ZMIN in STRUCTURE statement.
17	yes	ERROR ( GRID-ZMAX > STRUCT-ZMAX )	The maximum Z-coordinate in GRID statement is larger than ZMAX in STRUCTURE statement.
18	maybe	EXTRACT MASK FILE READ ERROR: PLURAL POLYGON!!	The designated MASK file in EXTRACT statement includes plural polygons.
19	no	EXTRACT MASK POLYGON OUT OF STRUCTURE!!	A part of the designated polygon in the EXTRACT statement exists out of the calculated structure.
